Description,Unit,Value,Bearing Code
Rolling element diameter,mm,6.75,KA06
Length of rolling element,mm,6.75,KA06
Nominal pressure angle,°,0,KA06
Static load rating,N,n/a,KA06
Dynamic load rating,N,n/a,KA06
Speed limit,min-1,n/a,KA06
Manufacturer,,IBU,KA06
Bearing code,,KA06,KA06
Sample number,,6203-A6,KA06
Installation site,,,KA06
Installation type (system type),,,KA06
Operator,,"Chair of design and Drive Technology, Paderborn",KA06
Number of load cycles,cycles,"artificial damage, bearing was not operated",KA06
Lifetime,h:min,,KA06
Load,N,,KA06
Dynamic equivalent load,N,,KA06
Rotational speed,min-1,,KA06
Load direction,°,,KA06
Comment,,,KA06
Bearing Type,,deep groove ball bearing,KA07
"Bearing designation(dimension series, bore code)",,6203,KA07
Suffix,,,KA07
Diameter of inner raceway,mm,n/a,KA07
Diameter of outer raceway,mm,n/a,KA07
Pitch circle diameter,mm,29.05,KA07
Number of rolling elements,pc.,8,KA07
Rolling element diameter,mm,6.75,KA07
Length of rolling element,mm,6.75,KA07
Nominal pressure angle,°,0,KA07
Static load rating,N,n/a,KA07
Dynamic load rating,N,n/a,KA07
Speed limit,min-1,n/a,KA07
Manufacturer,,IBU,KA07
Bearing code,,KA07,KA07
Sample number,,6203-A7,KA07
Installation site,,,KA07
Installation type (system type),,,KA07
Operator,,"Chair of design and Drive Technology, Paderborn",KA07
Number of load cycles,cycles,"artificial damage, bearing was not operated",KA07
Lifetime,h:min,,KA07
Load,N,,KA07
Dynamic equivalent load,N,,KA07
Rotational speed,min-1,,KA07
Load direction,°,,KA07
Comment,,,KA07
Bearing Type,,deep groove ball bearing,KA08
"Bearing designation(dimension series, bore code)",,6203,KA08
Suffix,,,KA08
Diameter of inner raceway,mm,n/a,KA08
Diameter of outer raceway,mm,n/a,KA08
Pitch circle diameter,mm,29.05,KA08
Number of rolling elements,pc.,8,KA08
Rolling element diameter,mm,6.75,KA08
Length of rolling element,mm,6.75,KA08
Nominal pressure angle,°,0,KA08
Static load rating,N,n/a,KA08
Dynamic load rating,N,n/a,KA08
Speed limit,min-1,n/a,KA08
Manufacturer,,IBU,KA08
Bearing code,,KA08,KA08
Sample number,,6203-A8,KA08
Installation site,,,KA08
Installation type (system type),,,KA08
Operator,,"Chair of design and Drive Technology, Paderborn",KA08
Number of load cycles,cycles,"artificial damage, bearing was not operated",KA08
Lifetime,h:min,,KA08
Load,N,,KA08
Dynamic equivalent load,N,,KA08
Rotational speed,min-1,,KA08
Load direction,°,,KA08
Comment,,,KA08
Bearing Type,,deep groove ball bearing,KA09
"Bearing designation(dimension series, bore code)",,6203,KA09
Suffix,,,KA09
Diameter of inner raceway,mm,n/a,KA09
Diameter of outer raceway,mm,n/a,KA09
Pitch circle diameter,mm,29.05,KA09
Number of rolling elements,pc.,8,KA09
Rolling element diameter,mm,6.75,KA09
Length of rolling element,mm,6.75,KA09
Nominal pressure angle,°,0,KA09
Static load rating,N,n/a,KA09
Dynamic load rating,N,n/a,KA09
Speed limit,min-1,n/a,KA09
Manufacturer,,IBU,KA09
Bearing code,,KA09,KA09
Sample number,,6203-A9,KA09
Installation site,,,KA09
Installation type (system type),,,KA09
Operator,,"Chair of design and Drive Technology, Paderborn",KA09
Number of load cycles,cycles,"artificial damage, bearing was not operated",KA09
Lifetime,h:min,,KA09
Load,N,,KA09
Dynamic equivalent load,N,,KA09
Rotational speed,min-1,,KA09
Load direction,°,,KA09
Comment,,,KA09
Bearing Type,,deep groove ball bearing,KA15
"Bearing designation(dimension series, bore code)",,6203,KA15
Suffix,,,KA15
Diameter of inner raceway,mm,24.00,KA15
Diameter of outer raceway,mm,33.10,KA15
Pitch circle diameter,mm,28.55,KA15
Number of rolling elements,pc.,8,KA15
Rolling element diameter,mm,6.75,KA15
Length of rolling element,mm,6.75,KA15
Nominal pressure angle,°,0,KA15
Static load rating,N,4750,KA15
Dynamic load rating,N,9500,KA15
Speed limit,min-1,12000,KA15
Manufacturer,,FAG,KA15
Bearing code,,KA15,KA15
Sample number,,13-04,KA15
Installation site,,04,KA15
Installation type (system type),,bearing damage test bench (KAt),KA15
Operator,,"Chair of design and Drive Technology, Paderborn",KA15
Number of load cycles,cycles,1189000,KA15
Lifetime,h:min,6:01,KA15
Load,N,3800,KA15
Dynamic equivalent load,N,,KA15
Rotational speed,min-1,2900,KA15
Load direction,°,0,KA15
Comment,,n/a,KA15
Bearing Type,,deep groove ball bearing,KA16
"Bearing designation(dimension series, bore code)",,6203,KA16
Suffix,,,KA16
Diameter of inner raceway,mm,n/a,KA16
Diameter of outer raceway,mm,n/a,KA16
Pitch circle diameter,mm,29.05,KA16
Number of rolling elements,pc.,8,KA16
Rolling element diameter,mm,6.75,KA16
Length of rolling element,mm,6.75,KA16
Nominal pressure angle,°,0,KA16
Static load rating,N,n/a,KA16
Dynamic load rating,N,n/a,KA16
Speed limit,min-1,n/a,KA16
Manufacturer,,MTK,KA16
Bearing code,,KA16,KA16
Sample number,,15-04,KA16
Installation site,,04,KA16
Installation type (system type),,bearing damage test bench (KAt),KA16
Operator,,"Chair of design and Drive Technology, Paderborn",KA16
Number of load cycles,cycles,1586300,KA16
Lifetime,h:min,9:01,KA16
Load,N,3800,KA16
Dynamic equivalent load,N,,KA16
Rotational speed,min-1,2900,KA16
Load direction,°,0,KA16
Comment,,n/a,KA16
Bearing Type,,deep groove ball bearing,KA22
"Bearing designation(dimension series, bore code)",,6203,KA22
Suffix,,,KA22
Diameter of inner raceway,mm,n/a,KA22
Diameter of outer raceway,mm,n/a,KA22
Pitch circle diameter,mm,29.05,KA22
Number of rolling elements,pc.,8,KA22
Rolling element diameter,mm,6.75,KA22
Length of rolling element,mm,6.75,KA22
Nominal pressure angle,°,0,KA22
Static load rating,N,n/a,KA22
Dynamic load rating,N,n/a,KA22
Speed limit,min-1,n/a,KA22
Manufacturer,,IBU / IBB,KA22
Bearing code,,KA22,KA22
Sample number,,19-01,KA22
Installation site,,01,KA22
Installation type (system type),,bearing damage test bench (KAt),KA22
Operator,,"Chair of design and Drive Technology, Paderborn",KA22
Number of load cycles,cycles,2531700,KA22
Lifetime,h:min,14:01,KA22
Load,N,3000,KA22
Dynamic equivalent load,N,,KA22
Rotational speed,min-1,2900,KA22
Load direction,°,0,KA22
Comment,,n/a,KA22
Bearing Type,,deep groove ball bearing,KA30
"Bearing designation(dimension series, bore code)",,6203,KA30
Suffix,,,KA30
Diameter of inner raceway,mm,n/a,KA30
Diameter of outer raceway,mm,n/a,KA30
Pitch circle diameter,mm,29.05,KA30
Number of rolling elements,pc.,8,KA30
Rolling element diameter,mm,6.75,KA30
Length of rolling element,mm,6.75,KA30
Nominal pressure angle,°,0,KA30
Static load rating,N,n/a,KA30
Dynamic load rating,N,n/a,KA30
Speed limit,min-1,n/a,KA30
Manufacturer,,MTK,KA30
Bearing code,,KA30,KA30
Sample number,,15-01,KA30
Installation site,,01,KA30
Installation type (system type),,bearing damage test bench (KAt),KA30
Operator,,"Chair of design and Drive Technology, Paderborn",KA30
Number of load cycles,cycles,3746800,KA30
Lifetime,h:min,21:01,KA30
Load,N,,KA30
Dynamic equivalent load,N,3800,KA30
Rotational speed,min-1,2900,KA30
Load direction,°,0,KA30
Comment,,n/a,KA30
Bearing Type,,deep groove ball bearing,KB23
"Bearing designation(dimension series, bore code)",,6203,KB23
Suffix,,,KB23
Diameter of inner raceway,mm,n/a,KB23
Diameter of outer raceway,mm,n/a,KB23
Pitch circle diameter,mm,29.05,KB23
Number of rolling elements,pc.,8,KB23
Rolling element diameter,mm,6.75,KB23
Length of rolling element,mm,6.75,KB23
Nominal pressure angle,°,0,KB23
Static load rating,N,n/a,KB23
Dynamic load rating,N,n/a,KB23
Speed limit,min-1,n/a,KB23
Manufacturer,,MTK,KB23
Bearing code,,KB23,KB23
Sample number,,11-04,KB23
Installation site,,04,KB23
Installation type (system type),,bearing damage test bench (KAt),KB23
Operator,,"Chair of design and Drive Technology, Paderborn",KB23
Number of load cycles,cycles,3683000,KB23
Lifetime,h:min,21:01,KB23
Load,N,3800,KB23
Dynamic equivalent load,N,,KB23
Rotational speed,min-1,2900,KB23
Load direction,°,0,KB23
Comment,,n/a,KB23
Bearing Type,,deep groove ball bearing,KB24
"Bearing designation(dimension series, bore code)",,6203,KB24
Suffix,,,KB24
Diameter of inner raceway,mm,24,KB24
Diameter of outer raceway,mm,33.1,KB24
Pitch circle diameter,mm,28.55,KB24
Number of rolling elements,pc.,8,KB24
Rolling element diameter,mm,6.75,KB24
Length of rolling element,mm,6.75,KB24
Nominal pressure angle,°,0,KB24
Static load rating,N,4750,KB24
Dynamic load rating,N,9500,KB24
Speed limit,min-1,12000,KB24
Manufacturer,,FAG,KB24
Bearing code,,KB24,KB24
Sample number,,12-01,KB24
Installation site,,01,KB24
Installation type (system type),,bearing damage test bench (KAt),KB24
Operator,,"Chair of design and Drive Technology, Paderborn",KB24
Number of load cycles,cycles,2769500,KB24
Lifetime,h:min,15:01,KB24
Load,N,3800,KB24
Dynamic equivalent load,N,,KB24
Rotational speed,min-1,2900,KB24
Load direction,°,0,KB24
Comment,,n/a,KB24
Bearing Type,,deep groove ball bearing,KB27
"Bearing designation(dimension series, bore code)",,6203,KB27
Suffix,,,KB27
Diameter of inner raceway,mm,24.00,KB27
Diameter of outer raceway,mm,33.10,KB27
Pitch circle diameter,mm,28.55,KB27
Number of rolling elements,pc.,8,KB27
Rolling element diameter,mm,6.75,KB27
Length of rolling element,mm,6.75,KB27
Nominal pressure angle,°,0,KB27
Static load rating,N,4750,KB27
Dynamic load rating,N,9500,KB27
Speed limit,min-1,12000,KB27
Manufacturer,,FAG,KB27
Bearing code,,KB27,KB27
Sample number,,11-01,KB27
Installation site,,01,KB27
Installation type (system type),,bearing damage test bench (KAt),KB27
Operator,,"Chair of design and Drive Technology, Paderborn",KB27
Number of load cycles,cycles,3683000,KB27
Lifetime,h:min,21:01,KB27
Load,N,3800,KB27
Dynamic equivalent load,N,,KB27
Rotational speed,min-1,2900,KB27
Load direction,°,0,KB27
Comment,,n/a,KB27
Bearing Type,,deep groove ball bearing,KI01
"Bearing designation(dimension series, bore code)",,6203,KI01
Suffix,,,KI01
Diameter of inner raceway,mm,n/a,KI01
Diameter of outer raceway,mm,n/a,KI01
Number of rolling elements,pc.,8,KI01
Rolling element diameter,mm,6.75,KI01
Length of rolling element,mm,6.75,KI01
Nominal pressure angle,°,0,KI01
Static load rating,N,n/a,KI01
Dynamic load rating,N,n/a,KI01
Speed limit,"-1min",n/a,KI01
Manufacturer,,MTK,KI01
Bearing code,,KI01,KI01
Pitch circle diameter,mm,29.05,KI01
Sample number,,6203-I1,KI01
Installation site,,,KI01
Installation type (system type),,,KI01
Operator,,"Chair of design and Drive Technology, Paderborn",KI01
Number of load cycles,cycles,"artificial damage, bearing was not operated",KI01
Lifetime,h:min,,KI01
Load,N,,KI01
Dynamic equivalent load,N,,KI01
Rotational speed,"-1min",,KI01
Load direction,°,,KI01
Comment,,,KI01
Bearing Type,,deep groove ball bearing,KI03
"Bearing designation(dimension series, bore code)",,6203,KI03
Suffix,,,KI03
Diameter of inner raceway,mm,n/a,KI03
Diameter of outer raceway,mm,n/a,KI03
Number of rolling elements,pc.,8,KI03
Rolling element diameter,mm,6.75,KI03
Length of rolling element,mm,6.75,KI03
Nominal pressure angle,°,0,KI03
Static load rating,N,n/a,KI03
Dynamic load rating,N,n/a,KI03
Speed limit,"-1min",n/a,KI03
Manufacturer,,MTK,KI03
Bearing code,,KI03,KI03
Pitch circle diameter,mm,29.05,KI03
Sample number,,6203-I3,KI03
Installation site,,,KI03
Installation type (system type),,,KI03
Operator,,"Chair of design and Drive Technology, Paderborn",KI03
Number of load cycles,cycles,"artificial damage, bearing was not operated",KI03
Lifetime,h:min,,KI03
Load,N,,KI03
Dynamic equivalent load,N,,KI03
Rotational speed,"-1min",,KI03
Load direction,°,,KI03
Comment,,,KI03
Bearing Type,,deep groove ball bearing,KI04
"Bearing designation(dimension series, bore code)",,6203,KI04
Suffix,,,KI04
Diameter of inner raceway,mm,n/a,KI04
Diameter of outer raceway,mm,n/a,KI04
Pitch circle diameter,mm,29.05,KI04
Number of rolling elements,pc.,8,KI04
Rolling element diameter,mm,6.75,KI04
Length of rolling element,mm,6.75,KI04
Nominal pressure angle,°,0,KI04
Static load rating,N,n/a,KI04
Dynamic load rating,N,n/a,KI04
Speed limit,min-1,n/a,KI04
Manufacturer,,MTK,KI04
Bearing code,,KI04,KI04
Sample number,,15-02,KI04
Installation site,,02,KI04
Installation type (system type),,bearing damage test bench (KAt),KI04
Operator,,KAt,KI04
Number of load cycles,cycles,2166300,KI04
Lifetime,h:min,12:01,KI04
Load,N,3800,KI04
Dynamic equivalent load,N,,KI04
Rotational speed,min-1,2900,KI04
Load direction,°,0,KI04
Comment,,n/a,KI04
Bearing Type,,deep groove ball bearing,KI05
"Bearing designation(dimension series, bore code)",,6203,KI05
Suffix,,,KI05
Diameter of inner raceway,mm,n/a,KI05
Diameter of outer raceway,mm,n/a,KI05
Pitch circle diameter,mm,29.05,KI05
Number of rolling elements,pc.,8,KI05
Rolling element diameter,mm,6.75,KI05
Length of rolling element,mm,6.75,KI05
Nominal pressure angle,°,0,KI05
Static load rating,N,n/a,KI05
Dynamic load rating,N,n/a,KI05
Speed limit,min-1,n/a,KI05
Manufacturer,,IBU,KI05
Bearing code,,KI05,KI05
Sample number,,6203-I5,KI05
Installation site,,,KI05
Installation type (system type),,,KI05
Operator,,"Chair of design and Drive Technology, Paderborn",KI05
Number of load cycles,cycles,"artificial damage, bearing was not operated",KI05
Lifetime,h:min,,KI05
Load,N,,KI05
Dynamic equivalent load,N,,KI05
Rotational speed,min-1,,KI05
Load direction,°,,KI05
Comment,,,KI05
Bearing Type,,deep groove ball bearing,KI07
"Bearing designation(dimension series, bore code)",,6203,KI07
Suffix,,,KI07
Diameter of inner raceway,mm,n/a,KI07
Diameter of outer raceway,mm,n/a,KI07
Number of rolling elements,pc.,8,KI07
Rolling element diameter,mm,6.75,KI07
Length of rolling element,mm,6.75,KI07
Nominal pressure angle,°,0,KI07
Static load rating,N,n/a,KI07
Dynamic load rating,N,n/a,KI07
Speed limit,"-1min",n/a,KI07
Manufacturer,,IBU,KI07
Bearing code,,KI07,KI07
Pitch circle diameter,mm,29.05,KI07
Sample number,,6203-I7,KI07
Installation site,,,KI07
Installation type (system type),,,KI07
Operator,,"Chair of design and Drive Technology, Paderborn",KI07
Number of load cycles,cycles,"artificial damage, bearing was not operated",KI07
Lifetime,h:min,,KI07
Load,N,,KI07
Dynamic equivalent load,N,,KI07
Rotational speed,"-1min",,KI07
Load direction,°,,KI07
Comment,,,KI07
Bearing Type,,deep groove ball bearing,KI08
"Bearing designation(dimension series, bore code)",,6203,KI08
Suffix,,,KI08
Diameter of inner raceway,mm,n/a,KI08
Diameter of outer raceway,mm,n/a,KI08
Pitch circle diameter,mm,29.05,KI08
Number of rolling elements,pc.,8,KI08
Rolling element diameter,mm,6.75,KI08
Length of rolling element,mm,6.75,KI08
Nominal pressure angle,°,0,KI08
Static load rating,N,n/a,KI08
Dynamic load rating,N,n/a,KI08
Speed limit,min-1,n/a,KI08
Manufacturer,,IBU,KI08
Bearing code,,KI08,KI08
Sample number,,6203-I8,KI08
Installation site,,,KI08
Installation type (system type),,,KI08
Operator,,"Chair of design and Drive Technology, Paderborn",KI08
Number of load cycles,cycles,"artificial damage, bearing was not operated",KI08
Lifetime,h:min,,KI08
Load,N,,KI08
Dynamic equivalent load,N,,KI08
Rotational speed,min-1,,KI08
Load direction,°,,KI08
Comment,,,KI08
Bearing Type,,deep groove ball bearing,KI14
"Bearing designation(dimension series, bore code)",,6203,KI14
Suffix,,,KI14
Diameter of inner raceway,mm,n/a,KI14
Diameter of outer raceway,mm,n/a,KI14
Pitch circle diameter,mm,29.05,KI14
Number of rolling elements,pc.,8,KI14
Rolling element diameter,mm,6.75,KI14
Length of rolling element,mm,6.75,KI14
Nominal pressure angle,°,0,KI14
Static load rating,N,n/a,KI14
Dynamic load rating,N,n/a,KI14
Speed limit,min-1,n/a,KI14
Manufacturer,,MTK,KI14
Bearing code,,KI14,KI14
Sample number,,11-02,KI14
Installation site,,02,KI14
Installation type (system type),,bearing damage test bench (KAt),KI14
Operator,,"Chair of design and Drive Technology, Paderborn",KI14
Number of load cycles,cycles,3683000,KI14
Lifetime,h:min,21:01,KI14
Load,N,3800,KI14
Dynamic equivalent load,N,,KI14
Rotational speed,min-1,2900,KI14
Load direction,°,0,KI14
Comment,,n/a,KI14
Bearing Type,,deep groove ball bearing,KI16
"Bearing designation(dimension series, bore code)",,6203,KI16
Suffix,,,KI16
Diameter of inner raceway,mm,24.00,KI16
Diameter of outer raceway,mm,33.10,KI16
Pitch circle diameter,mm,28.55,KI16
Number of rolling elements,pc.,8,KI16
Rolling element diameter,mm,6.75,KI16
Length of rolling element,mm,6.75,KI16
Nominal pressure angle,°,0,KI16
Static load rating,N,4750,KI16
Dynamic load rating,N,9500,KI16
Speed limit,min-1,12000,KI16
Manufacturer,,FAG,KI16
Bearing code,,KI16,KI16
Sample number,,14-04,KI16
Installation site,,04,KI16
Installation type (system type),,bearing damage test bench (KAt),KI16
Operator,,"Chair of design and Drive Technology, Paderborn",KI16
Number of load cycles,cycles,609000,KI16
Lifetime,h:min,3:01,KI16
Load,N,3800,KI16
Dynamic equivalent load,N,,KI16
Rotational speed,min-1,2900,KI16
Load direction,°,0,KI16
Comment,,n/a,KI16
Bearing Type,,deep groove ball bearing,KI17
"Bearing designation(dimension series, bore code)",,6203,KI17
Suffix,,,KI17
Diameter of inner raceway,mm,n/a,KI17
Diameter of outer raceway,mm,n/a,KI17
Pitch circle diameter,mm,29.05,KI17
Number of rolling elements,pc.,8,KI17
Rolling element diameter,mm,6.75,KI17
Length of rolling element,mm,6.75,KI17
Nominal pressure angle,°,0,KI17
Static load rating,N,n/a,KI17
Dynamic load rating,N,n/a,KI17
Speed limit,min-1,n/a,KI17
Manufacturer,,MTK,KI17
Bearing code,,KI17,KI17
Sample number,,16-02,KI17
Installation site,,02,KI17
Installation type (system type),,bearing damage test bench (KAt),KI17
Operator,,"Chair of design and Drive Technology, Paderborn",KI17
Number of load cycles,cycles,3436500,KI17
Lifetime,h:min,19:01,KI17
Load,N,3800,KI17
Dynamic equivalent load,N,,KI17
Rotational speed,min-1,2900,KI17
Load direction,°,0,KI17
Comment,,n/a,KI17
Bearing Type,,deep groove ball bearing,KI18
"Bearing designation(dimension series, bore code)",,6203,KI18
Suffix,,,KI18
Diameter of inner raceway,mm,n/a,KI18
Diameter of outer raceway,mm,n/a,KI18
Number of rolling elements,pc.,8,KI18
